학교종류명,설립구분,표준학교코드,학교명,영문학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,팩스번호,남녀공학구분명,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,시도교육청코드,시도교육청명,소재지명,주야과정,계열명,학과명,적재일시,위도,경도
고등학교,사립,7010965,동양고등학교,Dongyang High School,서울특별시교육청,7529,서울특별시 강서구 허준로 50,(가양동/동양고등학교),02-2657-0800,http://www.dongyang.hs.kr,02-3664-9463,남,일반고,N,일반계,,후기,주간,19530519,19530519,B10,서울특별시교육청,서울특별시,주간,공업계,토목과,20230615,37.5688729,126.8475466
고등학교,공립,7010964,서울금융고등학교,Seoul Finance High School,서울특별시교육청,7909,서울특별시 양천구 가로공원로61길 19,/ 서울금융고등학교 (신월동),02-2694-3710,http://www.seoulfc.hs.kr,02-2690-6754,남여공학,특성화고,N,전문계,,전기,주간,19841217,19841217,B10,서울특별시교육청,서울특별시,주간,상업계,사이버금융과,20230615,37.5380744,126.8254639
고등학교,사립,7010962,은평메디텍고등학교,Eunpyeong MediTech High School,서울특별시교육청,3306,서울특별시 은평구 진관2로 57-57,(진관동/은평메디텍고등학교),070-4020-6800,http://www.eunpyeong.hs.kr,02-357-0836,남여공학,특성화고,N,전문계,,전기,주간,19700302,19910807,B10,서울특별시교육청,서울특별시,주간,공업계,건강조리과,20230615,37.6355375,126.9291952
고등학교,사립,7010960,서울아이티고등학교,Seoul Information Technology High School,서울특별시교육청,1773,서울특별시 노원구 섬밭로 299,(중계동/서울아이티고등학교),02-948-1901,http://www.seoulit.hs.kr,02-977-8269,남여공학,특성화고,N,전문계,,전기,주간,19921030,19921030,B10,서울특별시교육청,서울특별시,주간,공업계,스마트웹디자인과,20230615,37.6422184,127.0620082
고등학교,공립,7010959,문현고등학교,MUNHYEON HIGH SCHOOL,서울특별시교육청,5811,서울특별시 송파구 충민로 115,(장지동),02-6951-8702,http://munhyeon.sen.hs.kr,02-3012-0880,남여공학,일반고,N,일반계,,후기,주간,20100301,20100301,B10,서울특별시교육청,서울특별시,주간,일반계,자연과정,20230627,37.4811568,127.1289582
고등학교,공립,7010958,강일고등학교,GANGIL HIGH SCHOOL,서울특별시교육청,5213,서울특별시 강동구 아리수로98길 40,(강일동),02-428-6200,http://www.gang-il.hs.kr,02-428-6810,남여공학,일반고,N,일반계,,후기,주간,20100301,20100404,B10,서울특별시교육청,서울특별시,주간,일반계,공통과정,20230615,37.5637663,127.1778756
고등학교,사립,7010918,하나고등학교,Hana Academy Seoul,서울특별시교육청,3305,서울특별시 은평구 연서로 535,/ 하나고등학교 (진관동),02-6913-1111,http://www.hana.hs.kr,02-6913-1785,남여공학,자율고,N,일반계,,전기,주간,20090821,20091031,B10,서울특별시교육청,서울특별시,주간,일반계,자연과정,20230615,37.6413738,126.9369373
고등학교,공립,7010917,압구정고등학교,Apgujeong High School,서울특별시교육청,6003,서울특별시 강남구 압구정로39길 20,/ 압구정고등학교 (압구정동),02-549-0213,http://apgujeong.sen.hs.kr,02-515-8610,남여공학,일반고,N,일반계,,후기,주간,19861217,19870506,B10,서울특별시교육청,서울특별시,주간,일반계,자연과정,20230615,37.5308225,127.0328727
고등학교,사립,7010916,상일미디어고등학교,Sangil Media High School,서울특별시교육청,5282,서울특별시 강동구 천호대로219길 61,/ 상일미디어고등학교 (상일동),02-428-0733,http://www.sangilmedia.hs.kr,02-3427-0733,남여공학,특성화고,N,전문계,,전기,주간,19831226,19841006,B10,서울특별시교육청,서울특별시,주간,공업계,아이티미디어과,20230903,37.5483569,127.1698635
고등학교,사립,7010911,한세사이버보안고등학교,Hansei Cyber Security High School,서울특별시교육청,4129,서울특별시 마포구 마포대로11길 44-80,(아현동),02-362-0130,http://www.hansei.org,02-312-3996,남여공학,특성화고,N,전문계,,전기,주간,19941005,19941005,B10,서울특별시교육청,서울특별시,주간,공업계,지능형소프트웨어과,20230615,37.551836,126.9520387
고등학교,사립,7010908,리라아트고등학교,Lila Art High School,서울특별시교육청,4628,서울특별시 중구 소파로2길,/ 24 (예장동/리라아트고등학교),02-775-6541,http://www.lila.hs.kr,02-319-0681,남여공학,특성화고,N,전문계,,전기,주간,19520520,19520520,B10,서울특별시교육청,서울특별시,주간,공업계,전자계산기과(2·1),20230615,37.5572596,126.9882165
고등학교,사립,7010906,서울공연예술고등학교,School of Performing Arts/ Seoul,서울특별시교육청,8249,서울특별시 구로구 오리로22나길 16-26,/ 서울공연예술고등학교 (궁동),02-3281-9760,http://sopa.hs.kr,02-3281-9768,남여공학,특목고,N,일반계,예술계열,전기,주간,19660306,19661002,B10,서울특별시교육청,서울특별시,주간,예술계,연극영화과,20230615,37.5001689,126.8325537
고등학교,공립,7010889,성동글로벌경영고등학교,Seongdong Global Business High School,서울특별시교육청,4566,서울특별시 중구 퇴계로 375,(신당동/ 성동글로벌경영고등학교),02-2252-1932,http://sdglobal.sen.hs.kr,02-2235-7150,여,특성화고,N,전문계,,전기,주간,19610303,19610303,B10,서울특별시교육청,서울특별시,주간,특성화,글로벌MD과,20230615,37.5655701,127.0131738
고등학교,공립,7010888,서울문화고등학교,Seoul Culture High School,서울특별시교육청,1338,서울특별시 도봉구 마들로 598,/ 서울문화고등학교 (방학동),02-955-9100,http://seoulculture.sen.hs.kr,02-3491-7697,남여공학,특성화고,N,전문계,,전기,주간,19831226,19840507,B10,서울특별시교육청,서울특별시,주간,특성화,영상크리에이터과,20230615,37.6635123,127.0476229
고등학교,공립,7010886,성수고등학교,Seongsu High School,서울특별시교육청,4768,서울특별시 성동구 서울숲길 18,/ 성수고등학교 (성수동1가),02-461-2276,http://seongsu.sen.hs.kr,02-461-3346,남여공학,일반고,N,일반계,,후기,주간,20090301,20090301,B10,서울특별시교육청,서울특별시,주간,일반계,자연과정,20230615,37.5475413,127.0379713
고등학교,공립,7010885,수명고등학교,Sumyeong High School,서울특별시교육청,7635,서울특별시 강서구 수명로2길 15,/ 수명고등학교 (내발산동),02-2660-5500,http://www.sumyeong.hs.kr,02-2660-5519,남여공학,일반고,N,일반계,,후기,주간,20090301,20090504,B10,서울특별시교육청,서울특별시,주간,일반계,공통과정,20230615,37.5498611,126.8247971
고등학교,공립,7010884,신도림고등학교,Shindorim High School,서울특별시교육청,8200,서울특별시 구로구 경인로67길 159,(신도림동/신도림고등학교),02-2068-7979,https://shindorim.sen.hs.kr/,02-2068-7622,남여공학,일반고,N,일반계,,후기,주간,20090301,20090301,B10,서울특별시교육청,서울특별시,주간,일반계,자연과정,20230615,37.5139124,126.882
고등학교,공립,7010883,진관고등학교,Jingwan High School,서울특별시교육청,3302,서울특별시 은평구 진관4로 26,(진관동),02-358-0783,http://www.jingwan.hs.kr,02-358-0866,남여공학,일반고,N,일반계,,후기,주간,20090102,20090604,B10,서울특별시교육청,서울특별시,주간,일반계,공통과정,20230615,37.6432684,126.924422
고등학교,공립,7010882,은평고등학교,Eunpyeong High School,서울특별시교육청,3429,서울특별시 은평구 갈현로15길 47,(구산동/ 은평고등학교),02-383-0872,http://ep.sen.hs.kr,02-383-0860,남여공학,일반고,N,일반계,,후기,주간,20090301,20090301,B10,서울특별시교육청,서울특별시,주간,일반계,인문사회과정,20230615,37.6089913,126.9058937
외국인학교,사립,7010854,코리아외국인학교,Korea International School,서울특별시교육청,6739,서울특별시 서초구 남부순환로364길 7-16,(양재동),02-571-2917,http://www.rischool.org/,02-572-2916,남여공학,,N,해당없음,,전기,주간,20070830,20070830,B10,서울특별시교육청,서울특별시,,,,20230615,37.4847208,127.0410614
외국인학교,사립,7010853,아시아퍼시픽국제외국인학교,,서울특별시교육청,1874,서울특별시 노원구 월계로45가길 57,(월계동),02-907-2747,http://www.apis.seoul.kr/,02-907-2742,남여공학,,N,해당없음,,전기,주간,20061220,20070816,B10,서울특별시교육청,서울특별시,,,,20230615,37.6312033,127.0504681
외국인학교,사립,7010852,하비에르국제학교,,서울특별시교육청,3000,서울특별시 종로구 비봉길 23,(구기동),02-396-7688,http://www.xavier.sc.kr/,02-396-7689,남여공학,,N,해당없음,,전기,주간,20020302,20020302,B10,서울특별시교육청,서울특별시,,,,20230615,,
외국인학교,사립,7010851,재한몽골학교,International Mongolia School,서울특별시교육청,4966,서울특별시 광진구 광장로1가길 13-10,(광장동),02-3437-7078,http://mongolschool.org/,02-458-2980,남여공학,,N,해당없음,,전기,주야간,20050302,20050302,B10,서울특별시교육청,서울특별시,,,,20230615,,
외국인학교,사립,7010849,한국한성화교소학교,Overseas Chinese Primary School,서울특별시교육청,4536,서울특별시 중구 명동2길 35,(명동2가),02-776-1688,http://www.hanxiao.or.kr/,02-776-3729,남,,N,일반계,,전기,주간,19091005,19091005,B10,서울특별시교육청,서울특별시,,,,20230615,,
외국인학교,사립,7010848,한국켄트외국인학교,Korea Kent Foreign School,서울특별시교육청,4993,서울특별시 광진구 자양로35길 13,(구의동),02-2201-7091,http://www.kkfs.org,02-2201-7090,남,,N,해당없음,,전기,주간,19990827,19990827,B10,서울특별시교육청,서울특별시,,,,20230615,37.5470465,127.0864
외국인학교,사립,7010847,한국외국인학교,Korea International Shcool,서울특별시교육청,6324,서울특별시 강남구 개포로 408,(개포동),02-3496-0510,http://kisseoul.org/,02-578-6680,남,,N,해당없음,,전기,주간,19990801,19990801,B10,서울특별시교육청,서울특별시,,,,20230615,37.4856825,127.062107
외국인학교,사립,7010846,한국영등포화교소학교,Yeong De Po Korean Chinese Primary School,서울특별시교육청,7363,서울특별시 영등포구 경인로88길 9,(문래동1가),02-2678-5939,http://yongxiao.kr/,02-2636-5938,남,,N,해당없음,,전기,주간,19380601,19380601,B10,서울특별시교육청,서울특별시,,,,20230615,,
외국인학교,사립,7010844,지구촌기독외국인학교,지구촌기독외국인학교,서울특별시교육청,4419,서울특별시 용산구 독서당로 115,(한남동),02-797-0234,http://www.gcfskorea.org,02-797-0401,남,,N,해당없음,,전기,주간,19960901,19960901,B10,서울특별시교육청,서울특별시,,,,20230615,,
외국인학교,사립,7010843,서울프랑스학교,서울프랑스학교,서울특별시교육청,6581,서울특별시 서초구 서래로 7,(반포동),02-535-1158,http://lfseoul.org,02-593-5444,남,,N,해당없음,,전기,주간,20010407,20010407,B10,서울특별시교육청,서울특별시,,,,20230615,37.4958515,126.9979447
외국인학교,사립,7010842,서울일본인학교,서울일본인학교,서울특별시교육청,3919,서울특별시 마포구 월드컵북로62길 11,/ 일본인학교 (상암동),02-308-2010,http://www.sjs.or.kr/,02-572-6972,남,,N,해당없음,,전기,주간,19720508,19720508,B10,서울특별시교육청,서울특별시,,,,20230615,37.5837538,126.8839865
외국인학교,사립,7010840,서울독일학교,서울독일학교,서울특별시교육청,4419,서울특별시 용산구 독서당로 123-6,(한남동),02-792-0797,http://www.dsseoul.org,02-797-1954,남,,N,해당없음,,전기,주간,19760801,19760801,B10,서울특별시교육청,서울특별시,,,,20230615,,
외국인학교,사립,7010839,서울용산국제학교,서울용산국제학교,서울특별시교육청,4347,서울특별시 용산구 이태원로 285,(한남동),02-797-5104,http://www.yisseoul.org,02-797-5224,남,,N,해당없음,,전기,주간,20060808,20060808,B10,서울특별시교육청,서울특별시,,,,20230615,37.5402728,127.0007633
외국인학교,사립,7010838,한국한성화교중고등학교,한국한성화교중고등학교,서울특별시교육청,3723,서울특별시 서대문구 연희로 176,(연희동),02-324-0664,http://www.scs.or.kr/,02-325-0664,남,,N,해당없음,,전기,주간,19480505,19480505,B10,서울특별시교육청,서울특별시,,,,20230615,37.5720809,126.9369802
고등학교,사립,7010837,성암국제무역고등학교,Seong-Am International Trade High School,서울특별시교육청,1174,서울특별시 강북구 도봉로29길 52,(미아동/ 성암국제무역고등학교),02-2179-1717,http://seongam.sen.hs.kr,02-985-5399,여,특성화고,N,전문계,,전기,주간,19600219,19601001,B10,서울특별시교육청,서울특별시,주간,특성화,웹디자인과,20240310,37.620888,127.0246478
고등학교,공립,7010836,서울방송고등학교,Seoul Broadcasting High School,서울특별시교육청,4731,서울특별시 성동구 동호로5길 131,(옥수동),02-2281-0091,https://seb.sen.hs.kr,02-2281-0095,남여공학,특성화고,N,전문계,,전기,주간,19911030,19911030,B10,서울특별시교육청,서울특별시,주간,특성화,방송영상과,20230615,37.5473647,127.0103869
고등학교,사립,7010835,경복비즈니스고등학교,Kyungbok Business High School,서울특별시교육청,7589,서울특별시 강서구 화곡로 379,(등촌동),02-3661-3425,http://kbb.sen.hs.kr,02-3661-8372,여,특성화고,N,전문계,,전기,주간,19721002,19721002,B10,서울특별시교육청,서울특별시,주간,특성화,스마트경영과,20230615,37.5580863,126.8526074
고등학교,사립,7010833,대동세무고등학교,Daedong Taxation High School,서울특별시교육청,3057,서울특별시 종로구 계동길 84-10,(계동),02-763-1631,http://daedong.sen.hs.kr,02-763-1632,남여공학,특성화고,N,전문계,,전기,주간,19250418,19250418,B10,서울특별시교육청,서울특별시,주간,특성화,세무행정과,20230615,37.5814311,126.9878449
고등학교,공립,7010828,한강미디어고등학교,Hangang Media High School,서울특별시교육청,7206,서울특별시 영등포구 선유로55길 22,(양평동4가/한강미디어고등학교),02-2671-1448,http://www.hangang-ech.hs.kr,02-2635-6399,남여공학,특성화고,N,전문계,,전기,주간,19950110,19950110,B10,서울특별시교육청,서울특별시,주간,특성화,방송미디어과,20230615,37.5391649,126.8972641
고등학교,공립,7010827,구현고등학교,Guhyun High School,서울특별시교육청,8217,서울특별시 구로구 경인로53가길 17,(구로동),02-2628-8916,http://www.guhyun.hs.kr,02-2628-8915,남여공학,자율고,N,일반계,,후기,주간,20080301,20080301,B10,서울특별시교육청,서울특별시,주간,일반계,인문사회과정,20230615,37.502297,126.8744669
고등학교,사립,7010818,해성여자고등학교,Haesung Girls’ High School,서울특별시교육청,2505,서울특별시 동대문구 전농로20길 31,(전농동/해성여자고등학교),070-7860-7100,http://haesung-g.hs.kr,070-8769-9458,여,일반고,N,일반계,,후기,주간,20080301,20080301,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.5808089,127.0569577
고등학교,공립,7010817,서울국제고등학교,Seoul Global High School,서울특별시교육청,3066,서울특별시 종로구 성균관로13길 40,/ 서울국제고 (명륜1가),02-743-9385,http://sghs.sen.hs.kr,02-743-9409,남여공학,특목고,N,일반계,국제계열,전기,주간,20070719,20080507,B10,서울특별시교육청,서울특별시,주간,국제계,국제계열,20230615,37.5913398,126.9960534
고등학교,공립,7010816,세종과학고등학교,Sejong Science High School,서울특별시교육청,8258,서울특별시 구로구 오리로21길 79,(궁동),02-2060-4133,http://www.sjsh.hs.kr,02-2060-4144,남여공학,특목고,N,일반계,과학계열,전기,주간,20080301,20080415,B10,서울특별시교육청,서울특별시,주간,과학계,과학과,20230615,37.4968998,126.8280026
고등학교,사립,7010813,보인고등학교,Boin High School,서울특별시교육청,5742,서울특별시 송파구 오금로49길 18,/ 보인고등학교 (오금동),02-2043-6021,http://www.boin.hs.kr,02-449-8063,남,자율고,N,일반계,,전기,주간,19080608,19080608,B10,서울특별시교육청,서울특별시,주간,일반계,공통과정,20230615,37.4971396,127.1386359
고등학교,사립,7010811,해성국제컨벤션고등학교,HAESUNG INTERNATIONAL CONVENTION HIGH SCHOOL,서울특별시교육청,2505,서울특별시 동대문구 전농로20길 31,/ 해성국제컨벤션고등학교 (전농동),070-8786-1300,http://www.haesung.hs.kr,02-2214-1958,여,특성화고,N,전문계,,전기,주간,19560328,19610404,B10,서울특별시교육청,서울특별시,주간,특성화,그래픽디자인과,20230615,37.5817685,127.0573516
고등학교,사립,7010810,예일디자인고등학교,Yale Design High School,서울특별시교육청,3412,서울특별시 은평구 연서로 117,/ 예일디자인고등학교 (구산동),02-380-0855,http://yaledesign.sen.hs.kr,02-380-0880,여,특성화고,N,전문계,,전기,주간,19930926,19930926,B10,서울특별시교육청,서울특별시,주간,특성화,패션?스타일과,20240324,37.609454,126.9158192
고등학교,공립,7010808,덕수고등학교,Duksoo High School,서울특별시교육청,5846,서울특별시 송파구 위례북로 10,"(거여동, 덕수고등학교)",02-6952-2801,https://duksoo.sen.hs.kr/,02-449-9069,남여공학,일반고,N,일반계,,전기,주간,19100413,19100413,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20240225,37.5555456,127.0421183
고등학교,공립,7010806,상암고등학교,Sang-am High School,서울특별시교육청,3903,서울특별시 마포구 월드컵북로 445,(상암동),02-373-0041,http://www.sangam.hs.kr,02-373-0068,남여공학,일반고,N,일반계,,후기,주간,20070104,20070510,B10,서울특별시교육청,서울특별시,주간,일반계,공통과정,20230615,37.579085,126.883068
고등학교,공립,7010805,원묵고등학교,Wonmook High School,서울특별시교육청,2041,서울특별시 중랑구 숙선옹주로 82,/ 원묵고등학교 (묵동),02-3422-3573,http://wonmook.hs.kr,02-3422-2578,남여공학,자율고,N,일반계,,후기,주간,20031219,20070531,B10,서울특별시교육청,서울특별시,주간,일반계,인문사회과정,20230615,37.6154157,127.0860645
외국인학교,사립,7010804,서울외국인학교,서울외국인학교,서울특별시교육청,3723,서울특별시 서대문구 연희로22길 39,(연희동),330-3100,http://www.seoulforeign.org,02-330-1857,남,,N,해당없음,,전기,주간,19120501,19120501,B10,서울특별시교육청,서울특별시,,,,20230615,37.569151,126.9372384
고등학교,사립,7010797,고려대학교사범대학부속고등학교,Korea University High School,서울특별시교육청,2708,서울특별시 성북구 정릉로 161,/ 고려대학교사범대학부속고등학교 (정릉동),02-914-7483,https://koreahi.sen.hs.kr,02-942-0732,남,일반고,N,일반계,,후기,주간,19680311,19680311,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,,
고등학교,사립,7010795,서울영상고등학교,Seoul Visual Media High School,서울특별시교육청,8021,서울특별시 양천구 목동로11길 46,/ 서울영상고등학교 (신정동),02-2602-7121,youngsang.hs.kr,02-2606-1804,남여공학,특성화고,N,전문계,,전기,주간,19611208,19611208,B10,서울특별시교육청,서울특별시,주간,특성화,영상콘텐츠과,20230615,37.523251,126.8600465
고등학교,사립,7010793,한양대학교사범대학부속고등학교,Hanyang High School Attached to the College of Education/ Hanyang University,서울특별시교육청,4761,서울특별시 성동구 마조로 42,(사근동),02-2200-3520,http://www.hanyang-u.hs.kr/,02-2298-3173,남여공학,자율고,N,일반계,,전기,주간,19600515,19600515,B10,서울특별시교육청,서울특별시,주간,일반계,자연과정,20230615,37.5619906,127.0421782
고등학교,공립,7010766,효문고등학교,Hyomun High School,서울특별시교육청,1372,서울특별시 도봉구 우이천로 432,(쌍문동/효문중 고등학교),02-992-0778,http://hyomun.sen.hs.kr,02-992-0528,남여공학,일반고,N,일반계,,후기,주간,20051229,20060605,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20250406,,
고등학교,공립,7010765,신서고등학교,Sinseo High School,서울특별시교육청,8021,서울특별시 양천구 은행정로 42,/ 신서고등학교 (신정동),02-2690-0400,http://sinseo.sen.hs.kr,02-2690-2227,남여공학,일반고,N,일반계,,후기,주간,20060105,20060525,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.5238226,126.8599431
고등학교,공립,7010764,세현고등학교,Se Hyun High School,서울특별시교육청,7531,서울특별시 강서구 허준로 227,/ 세현고등학교 (가양동),02-3663-1495,http://sehyun.hs.kr,02-3663-1056,남여공학,일반고,N,일반계,,후기,주간,20060301,20060506,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.5603342,126.8637889
고등학교,사립,7010747,이화여자대학교병설미디어고등학교,Ewha Media High School,서울특별시교육청,2061,서울특별시 중랑구 망우로73길 56,/ 02061 (망우동),02-2209-0146,https://ewhamedia.sen.hs.kr,02-438-1549,여,특성화고,N,전문계,,전기,주간,19690110,19690918,B10,서울특별시교육청,서울특별시,주간,특성화,공통과정,20230615,,
고등학교,사립,7010744,목동고등학교,Mokdong High School,서울특별시교육청,8099,서울특별시 양천구 목동동로2길 68,/ 목동고등학교 (신정동),02-2652-1701,https://mokdong.sen.hs.kr/,02-2652-9229,여,일반고,N,일반계,,후기,주간,19891208,19900914,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.5089222,126.8601322
고등학교,사립,7010741,서울디자인고등학교,Seoul Design High School,서울특별시교육청,4140,서울특별시 마포구 백범로 139,/ 서울디자인고등학교 (염리동),02-715-2261,http://www.seodi.hs.kr,02-716-6967,남여공학,특성화고,N,전문계,,전기,주간,19550112,19550112,B10,서울특별시교육청,서울특별시,주간,공업계,로봇디자인과,20230615,37.5469217,126.9479479
고등학교,사립,7010740,대진디자인고등학교,Daejin Design High School,서울특별시교육청,6352,서울특별시 강남구 광평로39길 93,(수서동/대진디자인고등학교),02-2226-8418,http://www.daejindesign.hs.kr,02-2226-4863,남여공학,특성화고,N,전문계,,전기,주간,19940325,19950302,B10,서울특별시교육청,서울특별시,주간,특성화,시각정보디자인과,20230615,37.4904176,127.0961147
고등학교,사립,7010739,서울관광고등학교,Seoul Tourism High School,서울특별시교육청,8714,서울특별시 관악구 은천로15길 25,(봉천동/서울관광고등학교),02-886-9165,http://seoul-tour.sen.hs.kr,02-872-9170,남여공학,특성화고,N,전문계,,전기,주간,19780315,19780315,B10,서울특별시교육청,서울특별시,주간,특성화,만화영상과,20230615,37.4883539,126.9435864
고등학교,공립,7010738,서울로봇고등학교,Seoul Robotics High School,서울특별시교육청,6363,서울특별시 강남구 광평로20길 63,/ 서울로봇고등학교 (일원동),02-2226-2141,http://srobot.sen.hs.kr,02-2226-5346,남여공학,특목고,N,전문계,산업수요 맞춤형 고등학교,전기,주간,19940104,19940104,B10,서울특별시교육청,서울특별시,주간,특성화,금속과,20230615,37.480706,127.0843256
고등학교,공립,7010737,성동공업고등학교,Seongdong Technical High School,서울특별시교육청,4571,서울특별시 중구 다산로 290,(흥인동),070-8685-7600,http://www.sdth.hs.kr,02-2234-1950,남여공학,특성화고,N,전문계,,전기,주간,19440401,19440401,B10,서울특별시교육청,서울특별시,주간,공업계,제어계측과,20230615,37.5692073,127.0169143
고등학교,공립,7010736,불암고등학교,Buram High School,서울특별시교육청,1736,서울특별시 노원구 중계로 155,(중계동),02-936-7500,http://www.buram.hs.kr,02-936-9100,남여공학,일반고,N,일반계,,후기,주간,20050301,20050301,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.6484598,127.0801515
고등학교,공립,7010735,월계고등학교,Wolgye High School,서울특별시교육청,1874,서울특별시 노원구 초안산로5길 66,(월계동/월계고등학교),02-908-0062,http://wg.hs.kr,02-908-0260,남여공학,일반고,N,일반계,,후기,주간,20050105,20050301,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.6317307,127.0486861
고등학교,공립,7010734,선유고등학교,Seonyoo High School,서울특별시교육청,7209,서울특별시 영등포구 선유로 227,/ 선유고등학교 (양평동4가),02-2069-0036,http://seonyoo.sen.hs.kr,02-2069-2626,남여공학,일반고,N,일반계,,후기,주간,20050105,20050526,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.5336798,126.8948714
고등기술학교,사립,7010722,한국제과학교,Korea Baking School,서울특별시교육청,7319,서울특별시 영등포구 여의대방로61길 42,(신길동),02-843-6042,http://www.kib.or.kr,02-848-5766,남여공학,,N,전문계,,전기,주간,19721229,19721229,B10,서울특별시교육청,서울특별시,주간,제과제빵계,제과과,20240609,,
고등학교,사립,7010721,서서울생활과학고등학교,Seoseoul Life Science High School,서울특별시교육청,8248,서울특별시 구로구 오리로 1355-10,/ 서서울생활과학고등학교 (궁동),02-2613-5272,http://ssls.sen.hs.kr,02-2612-0554,남여공학,특성화고,N,전문계,,전기,주간,19720305,19720331,B10,서울특별시교육청,서울특별시,주간,상업계,컴퓨터그래픽디자인과,20230615,37.5037145,126.8282483
고등학교,사립,7010712,영동일고등학교,Youngdongil High School,서울특별시교육청,5555,서울특별시 송파구 석촌호수로 93,/ 영동일고등학교 (잠실동),02-430-6822,http://www.ydi.hs.kr,02-430-3595,남여공학,일반고,N,일반계,,후기,주간,19771230,19780324,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.5098294,127.0898763
고등학교,공립,7010703,자운고등학교,Jawoon High School,서울특별시교육청,1412,서울특별시 도봉구 노해로69길 150,(창동),02-998-2929,http://jawoon.sen.hs.kr,02-998-2942,남여공학,일반고,N,일반계,,후기,주간,20020527,20040423,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.6589097,127.0506172
고등학교,공립,7010702,신현고등학교,Shinhyeon High School,서울특별시교육청,2075,서울특별시 중랑구 봉화산로 174,/ 신현고등학교 (상봉동),02-3422-2713,http://shinhyeon.sen.hs.kr,02-3422-2716,남여공학,일반고,N,일반계,,후기,주간,20040301,20040429,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20240526,37.6050407,127.0926555
고등학교,공립,7010701,문정고등학교,Munjeong High School,서울특별시교육청,5809,서울특별시 송파구 송이로34길 62,(문정동/문정고등학교),02-406-0061,http://mj.sen.hs.kr,02-406-6756,남여공학,일반고,N,일반계,,후기,주간,20071101,20080422,B10,서울특별시교육청,서울특별시,주간,일반계,자연과정,20230615,37.4852229,127.1267032
고등학교,공립,7010700,등촌고등학교,Deung Chon High School,서울특별시교육청,7580,서울특별시 강서구 공항대로39길 115,/ 등촌고등학교 (등촌동),02-3665-6045,http://www.dch.hs.kr,02-3665-6047,남여공학,자율고,N,일반계,,후기,주간,20040301,20040301,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.56283,126.8448
고등학교,공립,7010698,경일고등학교,Kyungil High School,서울특별시교육청,4779,서울특별시 성동구 성수일로 27,/ 경일고등학교 (성수동1가),02-463-3520,http://kyungil.sen.hs.kr,02-463-4072,남여공학,자율고,N,일반계,,후기,주간,20040506,20040506,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,,
고등학교,사립,7010697,서울문영여자고등학교,Seoul Moonyoung Girls` High School,서울특별시교육청,8833,서울특별시 관악구 관악로 85,/ 서울문영여자고등학교 (봉천동),02-873-3622,http://www.moonyoung.seoul.kr,02-873-3625,여,일반고,N,일반계,,후기,주간,19911107,19911107,B10,서울특별시교육청,서울특별시,주간,일반계,전기과,20230615,37.473456,126.9510614
고등학교,사립,7010594,염광고등학교,Yumkwang High School,서울특별시교육청,1874,서울특별시 노원구 월계로45가길 9,(월계동),02-905-4221,http://yumkwang.hs.kr,02-994-0122,남여공학,일반고,N,일반계,,후기,주간,19821019,19830302,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.6273438,127.0502171
고등학교,사립,7010593,상명고등학교,Sangmyung High School,서울특별시교육청,1758,서울특별시 노원구 덕릉로 553,(중계동),02-971-6211,http://www.sangmyung.hs.kr,02-971-6216,남여공학,일반고,N,일반계,,후기,주간,19371201,19370517,B10,서울특별시교육청,서울특별시,주간,일반계,인문사회과정,20230615,37.6496505,127.0679701
고등학교,사립,7010591,미래산업과학고등학교,Mirae High School of Science and Technology,서울특별시교육청,1717,서울특별시 노원구 덕릉로82길 54,(중계동),02-933-7671,http://www.mist.hs.kr,02-933-7855,남여공학,특성화고,N,전문계,,전기,주간,19940301,19940323,B10,서울특별시교육청,서울특별시,주간,공업계,생활디자인과,20230615,37.6589152,127.078927
고등학교,공립,7010590,방산고등학교,Bangsan High School,서울특별시교육청,5645,서울특별시 송파구 오금로27길 18,(방이동),02-418-2602,http://bangsan.sen.hs.kr,02-418-9963,남여공학,일반고,N,일반계,,후기,주간,20030301,20030930,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.5083573,127.1208358
